RYEAR,RDOYIST,RDOYFRST,RDOYFRND,RJUMP,ROBS,RVV,RALPHA,RC10,RBY0,RPHI,RTHETA,RY0,RRR,RFAX,RFPOL,RHRL,REM,RH,RCORREL,RCHI,RN,SDT,np,DiP
1995, 63.025000, 63.474306, 64.129861,(S),F$_r$,443.682640,  1.189474, -1.613269, 15.494775,211.683818,-78.981814, -0.054818,  0.139301,  0.504610,   69.147043,       4.652302,   15.769169,   -1.000000,    0.617443,    0.257603, 16.000000,    S, 9.69, 0.46
1995, 65.090972, 65.299306, 66.099306, NS,F$^-$,458.761252,  0.241178,  2.153750, 17.790303,154.884715, 15.279920, -0.223270,  0.064908,  3.280719,  141.511221,      61.901140,   17.451667,    1.000000,    0.498198,    0.156569, 19.000000,  NSN, 3.22, -1
1995, 93.279861, 93.531250, 94.559722, NS,F$^+$,294.082448,  0.749035,  2.057515, 16.114919,116.330881,-34.248896,  0.097549,  0.100855,  0.866751,   72.464987,       8.374548,   14.654424,    1.000000,    0.485200,    0.384892, 24.000000,  NSS, 3.41, 0.45
1995, 95.299306, 95.749306, 96.719444, NS,F$_r$,332.067518,  0.463416, -0.978229,  7.737002, 96.746514,  1.015284,  0.065042,  0.134877,  0.322934,   64.463404,       2.775660,    6.403928,   -1.000000,    0.767121,    0.284753, 23.000000,   SN, 11.41, 0.55
1995,181.389583,181.599306,183.699306, NS,F$_r$,397.968337,  0.150844,  2.248217, 14.585216,306.029282,  5.002831,  0.175940,  0.214528,  3.525644,  127.246983,      59.817006,   11.494135,    1.000000,    0.563305,    0.444184, 51.000000,   SN, 9.78, 0.44
1995,234.538889,234.929861,235.779861,(S),F$_r$,359.387063,  1.038604,  1.880578, 12.549898,263.346219,-31.242649,  0.034362,  0.127814,  0.379115,   46.272602,       2.339015,    9.345910,    1.000000,    0.638332,    0.307964, 21.000000,  SNS, 12.32, 0.47
1995,269.664583,270.150000,270.889583, NS,F$_r$,375.561040,  1.370576, -2.869520, 23.126210, 12.677821,-33.381119, -0.100930,  0.076845,  0.975542,   66.035273,       8.589357,   26.343713,   -1.000000,    0.157358,    0.446586, 17.000000,    S, 12.79, 0.64
1995,291.444444,291.799306,293.099306,(S),F$_r$,407.435662,  0.741574,  0.774398, 19.084459,293.545078, -8.107452, -0.007390,  0.178353,  1.227850,  249.378341,      40.826568,   53.134432,    1.000000,    0.625899,    0.196635, 31.000000,   SN, 13.13, 0.52
1995,349.619444,350.299306,350.799306, NS,F$^-$,396.527188,  3.787544, -3.287773, 18.263986, 68.896556, 15.494021,  0.031641,  0.126370,  0.220178,   24.332835,       0.714340,   15.827596,   -1.000000,    0.459692,    0.405275, 12.000000,  SNN, 12.34, 0.53
1996, 46.629861, 46.629861, 47.374306, NS,F$^+$,386.968044,  0.698546, -0.967584,  6.157489,102.203852,-54.708817,  0.009815,  0.082345,  0.135691,   37.687657,       0.681852,    4.110880,   -1.000000,    0.446058,    0.495669, 18.000000,  SNS, 14.21, 0.60
1996, 95.499306, 95.499306, 95.900000, NS,F$_r$,388.634634,  2.874555,  1.638243,  9.338535,278.517967, 25.190826, -0.023831,  0.044444,  0.075845,   20.494365,       0.207253,    5.664540,    1.000000,    0.648979,    0.345569, 19.000000,  SNN, 9.4, 0.43
1996,137.949306,138.066667,138.499306, NS,F$^+$,419.873790,  1.828972, -1.364653,  8.350298,250.731260,-15.859077,  0.030768,  0.063069,  0.095310,   26.079976,       0.331423,    5.245439,   -1.000000,    0.465524,    0.423545, 21.000000,   NS, 5.93, 0.46
1996,148.614583,148.614583,150.099306, NS,F$_r$,368.034115,  0.220030, -0.840996,  8.604843, 51.478422, -3.231568, -0.117617,  0.123253,  0.841286,  127.631924,      14.316656,    9.628154,   -1.000000,    0.318352,    0.223081, 35.000000,   SN, 13.55, 0.53
1996,183.545139,183.719444,184.428472, NS,F$_r$,354.040219,  1.817741, -1.508136, 13.209818, 89.225283,  2.695428, -0.022817,  0.090060,  0.239995,   47.099778,       1.507160,   12.065849,   -1.000000,    0.688787,    0.303789, 17.000000,   SN, 18.05, 0.52
1996,184.669444,184.669444,184.949306, NS,F$^-$,395.128248, 19.517047,  1.980360, 12.284842,147.301677, 23.885498,  0.007599,  0.093023,  0.019331,    9.817098,       0.025304,    8.693309,    1.000000,    0.701534,    0.429739, 14.000000,  NSN, 7.38, 0.50
1996,220.349306,220.499306,221.550000, NS,F$_r$,345.240739,  0.512988,  1.959989, 10.214357,259.555982,-39.528349, -0.066269,  0.118213,  0.508458,   46.386282,       3.144731,    6.044654,    1.000000,    0.601293,    0.352771, 25.000000,  SNS, 8.54, 0.56
1996,359.059722,359.129861,360.489583, NS,F$^+$,348.338499,  0.491969,  1.543761, 12.818742,104.982128, 23.124588,  0.039369,  0.139333,  0.835013,   84.547215,       9.413067,   11.156013,    1.000000,    0.805438,    0.205472, 33.000000,  NSN, 11.53, 0.51
1997, 10.036111, 10.199306, 11.129861,(S),F$^+$,436.831587,  0.970258,  0.848094, 14.138618,245.910373,-10.968307,  0.011636,  0.126072,  0.515071,  126.941276,       8.717830,   25.699427,    1.000000,    0.857217,    0.155976, 22.000000,   SN, 19.59, 0.50
1997, 40.534722, 41.119444, 41.769444,(S),F$^-$,456.835307,  0.819039, 28.079784,159.081848,196.021959,-66.121785, -0.363856,  0.149695, 77.246149,  157.494373,    1622.111180, 1056.465811,    1.000000,    0.276975,    0.326830, 15.000000,    S, 1.18, 0.49
1997,100.709722,101.239583,101.799306, NS,F$_r$,462.937690, 10.565916,  1.661673, 31.438304,176.593972, 14.264489, -0.042663,  0.036761,  0.233857,   65.098297,       2.029829,   63.554079,    1.000000,    0.244562,    0.326717, 13.000000,  NSN, 13.51, 0.45
1997,111.424306,111.499306,113.299306, NS,F$^+$,362.118511,  0.623764,  1.997373, 12.264822,321.589552, 12.214996,  0.011642,  0.125741,  0.602896,   54.312847,       4.365999,    8.624333,    1.000000,    0.808055,    0.393036, 43.000000,   SN, 13.15, 0.47
